#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)=10.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.4000000  3.5633 -1.6056  4.8508 10.072  1.013  1.502  1.036  1.999  2.883  3.497  3.717  3.879  4.741  1.9472E+01  7.1044E+01  1.5537E+02
 0.4194721  3.5791 -1.5159  4.8449  9.614  0.973  1.408  0.926  1.784  2.635  3.210  3.419  3.593  4.406  3.8964E+01  1.3087E+02  2.7015E+02
 0.4389639  3.5949 -1.4258  4.8378  9.202  0.908  1.312  0.852  1.649  2.387  2.926  3.128  3.318  4.082  3.8900E+01  1.1743E+02  2.2491E+02
 0.4583716  3.6107 -1.3359  4.8298  8.833  0.826  1.229  0.769  1.497  2.221  2.735  2.925  3.109  3.829  3.8802E+01  1.0580E+02  1.8864E+02
 0.4777657  3.6265 -1.2454  4.8205  8.492  0.730  1.155  0.678  1.331  2.101  2.607  2.778  2.935  3.615  3.8728E+01  9.5798E+01  1.5952E+02
 0.4970996  3.6423 -1.1548  4.8104  8.181  0.661  1.094  0.618  1.211  1.999  2.512  2.668  2.815  3.475  4.1753E+01  9.3743E+01  1.4583E+02
 0.5195192  3.6576 -1.0639  4.7998  7.871  0.583  1.031  0.563  1.101  1.890  2.405  2.550  2.685  3.327  4.5094E+01  9.1583E+01  1.3279E+02
 0.5421933  3.6729 -0.9729  4.7886  7.544  0.471  0.950  0.502  0.982  1.740  2.241  2.374  2.493  3.103  4.4976E+01  8.2672E+01  1.1176E+02
 0.5644954  3.6882 -0.8820  4.7764  7.245  0.318  0.868  0.463  0.913  1.602  2.077  2.199  2.306  2.882  4.4457E+01  7.4310E+01  9.3966E+01
 0.5866506  3.7034 -0.7900  4.7619  6.972  0.155  0.787  0.436  0.870  1.493  1.946  2.057  2.156  2.704  2.6043E+01  4.0482E+01  4.8632E+01
 0.5905381  3.7062 -0.7736  4.7596  6.927  0.127  0.772  0.433  0.864  1.478  1.929  2.037  2.135  2.680  7.8551E+00  1.1801E+01  1.3839E+01
 0.5945057  3.7089 -0.7569  4.7566  6.882  0.101  0.757  0.430  0.858  1.464  1.914  2.020  2.116  2.659  7.8780E+00  1.1652E+01  1.3516E+01
 0.5984161  3.7116 -0.7403  4.7536  6.837  0.076  0.743  0.426  0.853  1.451  1.898  2.003  2.098  2.637  8.4622E+00  1.2316E+01  1.4126E+01
 0.6029679  3.7142 -0.7228  4.7498  6.791  0.052  0.729  0.423  0.848  1.438  1.883  1.986  2.080  2.617  9.5438E+00  1.3648E+01  1.5461E+01
 0.6079599  3.7167 -0.7047  4.7453  6.743  0.031  0.716  0.420  0.842  1.425  1.868  1.970  2.062  2.596  9.9840E+00  1.4010E+01  1.5661E+01
 0.6129519  3.7192 -0.6865  4.7406  6.694  0.011  0.703  0.417  0.837  1.411  1.852  1.951  2.043  2.573  9.8431E+00  1.3551E+01  1.4947E+01
 0.6178030  3.7217 -0.6686  4.7362  6.646 -0.008  0.691  0.414  0.831  1.397  1.834  1.932  2.022  2.548  9.8708E+00  1.3336E+01  1.4516E+01
 0.6228227  3.7241 -0.6501  4.7308  6.596 -0.026  0.679  0.410  0.825  1.382  1.816  1.912  2.000  2.522  9.9718E+00  1.3221E+01  1.4203E+01
 0.6277748  3.7266 -0.6317  4.7258  6.547 -0.043  0.667  0.407  0.819  1.367  1.796  1.890  1.977  2.493  9.8511E+00  1.2820E+01  1.3593E+01
 0.6326738  3.7290 -0.6134  4.7205  6.498 -0.059  0.656  0.403  0.813  1.352  1.775  1.868  1.954  2.464  9.8005E+00  1.2523E+01  1.3108E+01
 0.6375753  3.7315 -0.5950  4.7155  6.448 -0.076  0.644  0.400  0.807  1.336  1.754  1.845  1.930  2.433  9.8141E+00  1.2315E+01  1.2727E+01
 0.6424879  3.7339 -0.5763  4.7097  6.398 -0.090  0.633  0.396  0.801  1.321  1.733  1.822  1.906  2.403  9.8910E+00  1.2189E+01  1.2438E+01
 0.6474663  3.7363 -0.5574  4.7037  6.347 -0.105  0.623  0.392  0.795  1.307  1.712  1.800  1.882  2.373  9.9526E+00  1.2045E+01  1.2136E+01
 0.6524405  3.7387 -0.5383  4.6976  6.296 -0.119  0.612  0.388  0.788  1.292  1.692  1.778  1.859  2.342  1.0041E+01  1.1935E+01  1.1874E+01
 0.6575077  3.7410 -0.5188  4.6906  6.244 -0.132  0.602  0.384  0.781  1.278  1.673  1.757  1.836  2.314  1.0045E+01  1.1725E+01  1.1519E+01
 0.6624851  3.7434 -0.4995  4.6842  6.193 -0.146  0.591  0.380  0.773  1.262  1.652  1.734  1.812  2.282  1.0003E+01  1.1470E+01  1.1128E+01
 0.6675106  3.7457 -0.4799  4.6771  6.141 -0.160  0.581  0.375  0.765  1.247  1.632  1.711  1.788  2.251  1.0100E+01  1.1378E+01  1.0902E+01
 0.6725855  3.7480 -0.4599  4.6696  6.087 -0.173  0.570  0.370  0.756  1.232  1.612  1.688  1.763  2.219  1.0160E+01  1.1243E+01  1.0639E+01
 0.6776704  3.7502 -0.4395  4.6612  6.033 -0.185  0.561  0.366  0.747  1.217  1.593  1.666  1.740  2.188  1.0148E+01  1.1034E+01  1.0312E+01
 0.6827335  3.7525 -0.4192  4.6534  5.979 -0.197  0.551  0.361  0.738  1.203  1.573  1.644  1.716  2.157  1.0147E+01  1.0840E+01  1.0007E+01
