#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)= 8.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 
 0.4000000  3.5622 -1.6134  4.8542 10.112  1.015  1.508  1.047  2.019  2.903  3.520  3.741  3.902  4.768  2.0320E+01  7.4049E+01  1.6180E+02
 0.4203204  3.5786 -1.5205  4.8484  9.632  0.974  1.412  0.929  1.789  2.643  3.219  3.429  3.602  4.417  4.0639E+01  1.3586E+02  2.7955E+02
 0.4406387  3.5950 -1.4274  4.8414  9.204  0.908  1.311  0.851  1.648  2.385  2.924  3.126  3.317  4.080  4.0629E+01  1.2155E+02  2.3136E+02
 0.4609499  3.6114 -1.3341  4.8333  8.822  0.822  1.225  0.764  1.490  2.215  2.728  2.917  3.100  3.818  4.0663E+01  1.0942E+02  1.9330E+02
 0.4813014  3.6278 -1.2403  4.8238  8.471  0.723  1.149  0.672  1.320  2.092  2.597  2.767  2.923  3.600  4.0862E+01  9.9319E+01  1.6336E+02
 0.5018121  3.6441 -1.1467  4.8136  8.152  0.653  1.087  0.612  1.199  1.988  2.501  2.656  2.803  3.461  4.4610E+01  9.7913E+01  1.4992E+02
 0.5259116  3.6599 -1.0531  4.8035  7.829  0.568  1.019  0.554  1.082  1.869  2.383  2.526  2.659  3.296  4.7957E+01  9.4697E+01  1.3463E+02
 0.5497687  3.6757 -0.9593  4.7922  7.495  0.447  0.935  0.493  0.966  1.714  2.211  2.342  2.458  3.062  4.7470E+01  8.4448E+01  1.1157E+02
 0.5733812  3.6916 -0.8652  4.7800  7.190  0.279  0.850  0.456  0.902  1.574  2.043  2.162  2.267  2.835  4.6918E+01  7.5612E+01  9.3196E+01
 0.5966865  3.7074 -0.7708  4.7661  6.918  0.116  0.765  0.431  0.861  1.472  1.922  2.029  2.127  2.670  2.7703E+01  4.1393E+01  4.8366E+01
 0.6010838  3.7102 -0.7534  4.7631  6.871  0.089  0.750  0.428  0.856  1.458  1.906  2.012  2.107  2.648  9.6606E+00  1.3911E+01  1.5836E+01
 0.6063471  3.7128 -0.7351  4.7589  6.823  0.065  0.736  0.425  0.850  1.445  1.891  1.995  2.090  2.628  1.0566E+01  1.4918E+01  1.6749E+01
 0.6116493  3.7154 -0.7165  4.7545  6.774  0.042  0.723  0.422  0.845  1.432  1.876  1.978  2.071  2.607  1.0706E+01  1.4810E+01  1.6390E+01
 0.6170535  3.7180 -0.6976  4.7498  6.723  0.021  0.710  0.419  0.839  1.418  1.860  1.960  2.052  2.584  1.0706E+01  1.4509E+01  1.5828E+01
 0.6223549  3.7206 -0.6789  4.7453  6.673  0.000  0.697  0.415  0.833  1.403  1.842  1.941  2.031  2.559  1.0586E+01  1.4060E+01  1.5122E+01
 0.6276394  3.7232 -0.6602  4.7406  6.623 -0.019  0.684  0.411  0.827  1.388  1.823  1.919  2.008  2.532  1.0499E+01  1.3671E+01  1.4500E+01
 0.6328540  3.7258 -0.6417  4.7361  6.573 -0.038  0.671  0.408  0.821  1.372  1.802  1.897  1.985  2.502  1.0477E+01  1.3378E+01  1.3996E+01
 0.6381166  3.7283 -0.6228  4.7308  6.522 -0.055  0.660  0.404  0.815  1.356  1.781  1.874  1.961  2.473  1.0499E+01  1.3148E+01  1.3570E+01
 0.6433530  3.7309 -0.6041  4.7261  6.472 -0.071  0.647  0.400  0.809  1.340  1.759  1.850  1.936  2.441  1.0507E+01  1.2908E+01  1.3143E+01
 0.6486240  3.7334 -0.5851  4.7206  6.421 -0.087  0.636  0.397  0.802  1.324  1.737  1.827  1.911  2.409  1.0506E+01  1.2661E+01  1.2720E+01
 0.6538585  3.7360 -0.5661  4.7155  6.369 -0.103  0.624  0.393  0.795  1.308  1.715  1.803  1.885  2.376  1.0491E+01  1.2406E+01  1.2299E+01
 0.6591146  3.7385 -0.5468  4.7097  6.318 -0.117  0.613  0.389  0.788  1.293  1.693  1.779  1.861  2.345  1.0474E+01  1.2156E+01  1.1893E+01
 0.6643324  3.7411 -0.5277  4.7044  6.266 -0.132  0.601  0.384  0.780  1.277  1.672  1.756  1.835  2.312  1.0435E+01  1.1888E+01  1.1481E+01
 0.6695495  3.7436 -0.5084  4.6985  6.215 -0.147  0.590  0.379  0.772  1.261  1.650  1.732  1.810  2.279  1.0417E+01  1.1651E+01  1.1108E+01
 0.6747491  3.7461 -0.4891  4.6926  6.163 -0.162  0.579  0.374  0.763  1.244  1.628  1.707  1.783  2.245  1.0434E+01  1.1460E+01  1.0786E+01
 0.6799834  3.7486 -0.4695  4.6863  6.110 -0.177  0.568  0.369  0.754  1.228  1.606  1.682  1.757  2.210  1.0468E+01  1.1290E+01  1.0492E+01
 0.6852169  3.7510 -0.4497  4.6795  6.058 -0.189  0.558  0.364  0.744  1.212  1.586  1.658  1.731  2.177  1.0486E+01  1.1108E+01  1.0193E+01
 0.6904695  3.7535 -0.4298  4.6729  6.004 -0.201  0.547  0.359  0.734  1.196  1.565  1.634  1.706  2.144  1.0424E+01  1.0847E+01  9.8292E+00
 0.6956408  3.7560 -0.4100  4.6663  5.952 -0.211  0.537  0.353  0.724  1.181  1.545  1.612  1.682  2.113  1.0691E+01  1.0927E+01  9.7787E+00
 0.7011607  3.7583 -0.3893  4.6582  5.897 -0.218  0.529  0.348  0.714  1.168  1.528  1.593  1.661  2.086  1.1904E+01  1.1938E+01  1.0542E+01
 0.7075449  3.7605 -0.3674  4.6491  5.840 -0.224  0.521  0.344  0.706  1.157  1.513  1.577  1.643  2.063  1.2907E+01  1.2679E+01  1.1034E+01
