#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)= 9.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.4000000  3.5628 -1.6094  4.8526 10.091  1.014  1.504  1.041  2.008  2.892  3.507  3.728  3.889  4.753  1.9925E+01  7.2650E+01  1.5881E+02
 0.4199251  3.5789 -1.5180  4.8467  9.622  0.973  1.410  0.928  1.786  2.638  3.214  3.423  3.597  4.410  3.9894E+01  1.3365E+02  2.7541E+02
 0.4398937  3.5950 -1.4262  4.8395  9.201  0.908  1.311  0.851  1.648  2.385  2.924  3.126  3.317  4.080  3.9702E+01  1.1929E+02  2.2771E+02
 0.4596269  3.6111 -1.3351  4.8318  8.827  0.824  1.227  0.766  1.493  2.217  2.731  2.921  3.104  3.823  3.9514E+01  1.0704E+02  1.9000E+02
 0.4794081  3.6271 -1.2434  4.8224  8.483  0.727  1.152  0.675  1.326  2.097  2.602  2.773  2.930  3.608  3.9545E+01  9.7029E+01  1.6065E+02
 0.4991715  3.6431 -1.1513  4.8119  8.169  0.657  1.091  0.616  1.206  1.995  2.507  2.663  2.810  3.469  4.3075E+01  9.5720E+01  1.4784E+02
 0.5224826  3.6587 -1.0593  4.8021  7.853  0.576  1.025  0.559  1.092  1.880  2.395  2.538  2.673  3.312  4.6514E+01  9.3254E+01  1.3400E+02
 0.5456855  3.6742 -0.9672  4.7909  7.523  0.460  0.943  0.498  0.974  1.728  2.227  2.359  2.476  3.084  4.6152E+01  8.3555E+01  1.1175E+02
 0.5686350  3.6897 -0.8747  4.7783  7.221  0.301  0.860  0.460  0.908  1.590  2.062  2.182  2.288  2.861  4.5586E+01  7.4913E+01  9.3607E+01
 0.5912711  3.7051 -0.7817  4.7638  6.948  0.138  0.777  0.434  0.866  1.484  1.936  2.045  2.143  2.689  2.6686E+01  4.0732E+01  4.8309E+01
 0.5953213  3.7079 -0.7650  4.7613  6.903  0.111  0.762  0.431  0.860  1.469  1.919  2.026  2.123  2.666  8.1018E+00  1.1944E+01  1.3822E+01
 0.5993729  3.7107 -0.7481  4.7585  6.858  0.084  0.747  0.428  0.855  1.455  1.903  2.008  2.104  2.644  9.0394E+00  1.3103E+01  1.4986E+01
 0.6043607  3.7133 -0.7301  4.7545  6.810  0.060  0.734  0.424  0.849  1.442  1.889  1.992  2.086  2.624  1.0058E+01  1.4311E+01  1.6155E+01
 0.6094311  3.7159 -0.7120  4.7504  6.762  0.038  0.720  0.421  0.844  1.429  1.873  1.975  2.068  2.603  1.0189E+01  1.4216E+01  1.5828E+01
 0.6145501  3.7184 -0.6937  4.7458  6.713  0.017  0.708  0.418  0.839  1.416  1.858  1.957  2.049  2.581  1.0273E+01  1.4054E+01  1.5434E+01
 0.6197042  3.7209 -0.6752  4.7409  6.664 -0.002  0.695  0.415  0.833  1.402  1.840  1.938  2.029  2.556  1.0263E+01  1.3769E+01  1.4914E+01
 0.6248134  3.7234 -0.6567  4.7360  6.614 -0.021  0.683  0.411  0.827  1.387  1.821  1.918  2.007  2.529  1.0168E+01  1.3381E+01  1.4299E+01
 0.6298725  3.7259 -0.6383  4.7311  6.564 -0.038  0.671  0.408  0.821  1.371  1.801  1.896  1.984  2.501  1.0122E+01  1.3070E+01  1.3781E+01
 0.6349358  3.7285 -0.6199  4.7266  6.515 -0.056  0.659  0.404  0.815  1.355  1.780  1.873  1.959  2.470  1.0166E+01  1.2881E+01  1.3403E+01
 0.6400384  3.7310 -0.6011  4.7212  6.464 -0.072  0.647  0.400  0.808  1.340  1.758  1.850  1.935  2.440  1.0232E+01  1.2723E+01  1.3065E+01
 0.6451675  3.7334 -0.5821  4.7153  6.413 -0.087  0.636  0.397  0.802  1.324  1.737  1.827  1.911  2.409  1.0214E+01  1.2465E+01  1.2634E+01
 0.6502521  3.7359 -0.5633  4.7099  6.363 -0.102  0.624  0.393  0.796  1.309  1.716  1.804  1.886  2.378  1.0160E+01  1.2173E+01  1.2179E+01
 0.6553278  3.7384 -0.5442  4.7042  6.311 -0.117  0.613  0.389  0.789  1.294  1.694  1.780  1.862  2.346  1.0140E+01  1.1928E+01  1.1782E+01
 0.6603919  3.7409 -0.5252  4.6985  6.260 -0.131  0.602  0.384  0.781  1.278  1.673  1.757  1.837  2.315  1.0179E+01  1.1760E+01  1.1468E+01
 0.6655071  3.7433 -0.5058  4.6921  6.209 -0.145  0.591  0.380  0.773  1.263  1.653  1.735  1.813  2.284  1.0187E+01  1.1559E+01  1.1130E+01
 0.6705794  3.7458 -0.4864  4.6860  6.157 -0.160  0.580  0.375  0.764  1.246  1.631  1.710  1.787  2.249  1.0176E+01  1.1340E+01  1.0783E+01
 0.6756827  3.7482 -0.4669  4.6794  6.104 -0.174  0.570  0.370  0.755  1.230  1.610  1.686  1.761  2.216  1.0281E+01  1.1255E+01  1.0569E+01
 0.6808606  3.7505 -0.4468  4.6718  6.051 -0.187  0.560  0.365  0.746  1.215  1.590  1.663  1.737  2.184  1.0311E+01  1.1088E+01  1.0283E+01
 0.6859939  3.7529 -0.4268  4.6646  5.998 -0.199  0.550  0.360  0.736  1.200  1.570  1.640  1.712  2.152  1.0350E+01  1.0934E+01  1.0014E+01
 0.6912104  3.7552 -0.4064  4.6567  5.944 -0.208  0.540  0.355  0.727  1.186  1.551  1.619  1.689  2.123  1.0451E+01  1.0846E+01  9.8110E+00
 0.6964448  3.7575 -0.3856  4.6484  5.889 -0.216  0.531  0.350  0.717  1.173  1.534  1.600  1.668  2.095  1.0763E+01  1.0972E+01  9.7999E+00
 0.7019735  3.7597 -0.3644  4.6394  5.834 -0.222  0.523  0.345  0.709  1.161  1.519  1.583  1.650  2.071  1.1893E+01  1.1895E+01  1.0483E+01
 0.7083374  3.7617 -0.3416  4.6286  5.775 -0.227  0.516  0.341  0.701  1.151  1.506  1.569  1.634  2.052  1.2596E+01  1.2344E+01  1.0724E+01
 0.7145694  3.7637 -0.3190  4.6178  5.717 -0.230  0.510  0.337  0.694  1.143  1.494  1.556  1.621  2.034  1.2407E+01  1.1910E+01  1.0199E+01
 0.7207449  3.7658 -0.2963  4.6072  5.658 -0.234  0.503  0.333  0.686  1.134  1.483  1.544  1.607  2.017  1.2328E+01  1.1596E+01  9.7900E+00
 0.7268969  3.7678 -0.2734  4.5960  5.599 -0.236  0.496  0.329  0.678  1.126  1.472  1.533  1.594  2.001  1.2273E+01  1.1317E+01  9.4207E+00
 0.7330175  3.7697 -0.2503  4.5841  5.540 -0.238  0.490  0.325  0.671  1.118  1.462  1.522  1.582  1.986  1.2202E+01  1.1032E+01  9.0579E+00
 0.7390993  3.7717 -0.2271  4.5725  5.480 -0.240  0.484  0.322  0.663  1.110  1.452  1.511  1.570  1.970  1.2073E+01  1.0706E+01  8.6712E+00
 0.7450906  3.7737 -0.2038  4.5607  5.420 -0.241  0.478  0.318  0.656  1.102  1.441  1.499  1.557  1.953  1.2014E+01  1.0453E+01  8.3533E+00
 0.7511135  3.7756 -0.1801  4.5481  5.359 -0.242  0.473  0.314  0.649  1.093  1.430  1.488  1.543  1.936  1.1848E+01  1.0116E+01  7.9790E+00
 0.7569385  3.7776 -0.1568  4.5362  5.299 -0.242  0.467  0.310  0.641  1.083  1.417  1.474  1.528  1.917  1.1686E+01  9.7965E+00  7.6278E+00
 0.7627990  3.7795 -0.1331  4.5234  5.237 -0.242  0.462  0.307  0.634  1.073  1.403  1.459  1.512  1.896  1.1581E+01  9.5359E+00  7.3317E+00
 0.7685197  3.7814 -0.1094  4.5106  5.174 -0.241  0.457  0.303  0.627  1.061  1.388  1.443  1.494  1.874  1.1381E+01  9.2073E+00  6.9920E+00
 0.7741799  3.7834 -0.0856  4.4980  5.111 -0.240  0.453  0.300  0.619  1.048  1.371  1.425  1.475  1.850  1.1351E+01  9.0253E+00  6.7710E+00
 0.7798705  3.7852 -0.0611  4.4838  5.046 -0.238  0.448  0.296  0.612  1.036  1.354  1.407  1.456  1.826  1.1310E+01  8.8404E+00  6.5530E+00
 0.7854903  3.7871 -0.0365  4.4700  4.981 -0.236  0.444  0.293  0.605  1.022  1.336  1.388  1.436  1.800  1.1373E+01  8.7395E+00  6.4011E+00
